Delivery Start,EFA,Cleared Volume,Brent Oil,EU Gas,Ofgem Weekly Electricity Price,Ofgem Monthly Electricity Price,Ofgem Monthly Gas Price,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,price
2022-06-29 11:00:00,4,925,120.8,318.5,257.99,173.11,149.49,30152.875,30151.875,1.0,2,1,-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,49.95
2022-06-29 15:00:00,5,765,120.8,318.5,257.99,173.11,149.49,31685.625,31703.166666666668,-17.54166666666788,2,1,-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,0.9749279121818236,-0.22252093395631434,65.6
2022-06-29 19:00:00,6,690,120.8,318.5,257.99,173.11,149.49,29367.875,29412.0625,-44.1875,2,1,-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,62.95
2022-06-29 23:00:00,1,824,119.78,311.7,257.99,173.11,149.49,25719.75,25730.52083333333,-10.77083333333212,3,1,-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,19.95
2022-06-30 03:00:00,2,774,119.78,311.7,257.99,173.11,149.49,26543.875,26499.64583333333,44.22916666666788,3,1,-0.20129852008866117,0.9795299412524943,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,39.95
2022-06-30 07:00:00,3,783,119.78,311.7,257.99,173.11,149.49,28747.25,28740.75,6.5,3,1,-0.20129852008866117,0.9795299412524943,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,65.8
2022-06-30 11:00:00,4,858,119.78,311.7,257.99,173.11,149.49,28891.375,28870.33333333333,21.04166666666788,3,1,-0.20129852008866117,0.9795299412524943,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,9.28
2022-06-30 15:00:00,5,733,119.78,311.7,257.99,173.11,149.49,31170.625,31154.70833333333,15.91666666666788,3,1,-0.20129852008866117,0.9795299412524943,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,66.9
2022-06-30 19:00:00,6,729,119.78,311.7,257.99,173.11,149.49,29253.0,29329.125,-76.125,3,1,-0.20129852008866117,0.9795299412524943,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,67.96
2022-06-30 23:00:00,1,880,119.21,307.9,257.99,261.93,247.71,25653.5,25668.375,-14.875,4,1,-0.20129852008866117,0.9795299412524943,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,4.99
2022-07-01 03:00:00,2,889,119.21,307.9,257.99,261.93,247.71,26649.375,26597.541666666668,51.83333333333212,4,1,0.20129852008866006,0.9795299412524945,-0.4999999999999998,-0.8660254037844388,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,4.88
2022-07-01 07:00:00,3,855,119.21,307.9,257.99,261.93,247.71,29638.875,29637.95833333333,0.9166666666678792,4,1,0.20129852008866006,0.9795299412524945,-0.4999999999999998,-0.8660254037844388,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,10.6
2022-07-01 11:00:00,4,833,119.21,307.9,257.99,261.93,247.71,28401.75,28416.979166666668,-15.22916666666788,4,1,0.20129852008866006,0.9795299412524945,-0.4999999999999998,-0.8660254037844388,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,39.95
2022-07-01 15:00:00,5,860,119.21,307.9,257.99,261.93,247.71,30268.25,30246.6875,21.5625,4,1,0.20129852008866006,0.9795299412524945,-0.4999999999999998,-0.8660254037844388,-0.8660254037844386,0.5,-0.433883739117558,-0.9009688679024191,11.82
2022-07-01 19:00:00,6,755,119.21,307.9,257.99,261.93,247.71,29185.625,29249.625,-64.0,4,1,0.20129852008866006,0.9795299412524945,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,3.62
2022-07-01 23:00:00,1,909,119.21,307.9,257.99,261.93,247.71,25338.75,25349.33333333333,-10.58333333333212,5,0,0.20129852008866006,0.9795299412524945,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,24.95
2022-07-02 03:00:00,2,949,119.21,307.9,257.99,261.93,247.71,24342.5,24336.104166666668,6.395833333332121,5,0,0.39435585511331855,0.9189578116202306,-0.4999999999999998,-0.8660254037844388,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,39.95
2022-07-02 07:00:00,3,983,119.21,307.9,257.99,261.93,247.71,26233.25,26217.39583333333,15.85416666666788,5,0,0.39435585511331855,0.9189578116202306,-0.4999999999999998,-0.8660254037844388,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,50.0
2022-07-02 11:00:00,4,963,119.21,307.9,257.99,261.93,247.71,25088.0,25100.25,-12.25,5,0,0.39435585511331855,0.9189578116202306,-0.4999999999999998,-0.8660254037844388,-0.8660254037844384,-0.5000000000000004,-0.9749279121818235,-0.2225209339563146,55.0
2022-07-02 15:00:00,5,889,119.21,307.9,257.99,261.93,247.71,27671.5,27613.6875,57.8125,5,0,0.39435585511331855,0.9189578116202306,-0.4999999999999998,-0.8660254037844388,-0.8660254037844386,0.5,-0.9749279121818235,-0.2225209339563146,69.1
2022-07-02 19:00:00,6,853,119.21,307.9,257.99,261.93,247.71,27789.5,27861.83333333333,-72.33333333333212,5,0,0.39435585511331855,0.9189578116202306,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,-0.9749279121818235,-0.2225209339563146,59.95
2022-07-02 23:00:00,1,830,119.21,307.9,257.99,261.93,247.71,23703.75,23749.9375,-46.1875,6,0,0.39435585511331855,0.9189578116202306,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,39.96
2022-07-03 03:00:00,2,943,119.21,307.9,257.99,261.93,247.71,22149.0,22157.25,-8.25,6,0,0.5712682150947923,0.8207634412072763,-0.4999999999999998,-0.8660254037844388,0.8660254037844388,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,44.95
2022-07-03 07:00:00,3,936,119.21,307.9,257.99,261.93,247.71,23716.125,23664.604166666668,51.52083333333212,6,0,0.5712682150947923,0.8207634412072763,-0.4999999999999998,-0.8660254037844388,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,57.96
2022-07-03 11:00:00,4,993,119.21,307.9,257.99,261.93,247.71,24628.875,24628.5625,0.3125,6,0,0.5712682150947923,0.8207634412072763,-0.4999999999999998,-0.8660254037844388,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,68.13
2022-07-03 15:00:00,5,891,119.21,307.9,257.99,261.93,247.71,27663.875,27574.4375,89.4375,6,0,0.5712682150947923,0.8207634412072763,-0.4999999999999998,-0.8660254037844388,-0.8660254037844386,0.5,-0.7818314824680299,0.6234898018587334,74.95
2022-07-03 19:00:00,6,709,119.21,307.9,257.99,261.93,247.71,27757.625,27838.875,-81.25,6,0,0.5712682150947923,0.8207634412072763,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,74.95
2022-07-03 23:00:00,1,858,121.8,320.1,318.67,261.93,247.71,24546.125,24538.70833333333,7.416666666667879,0,1,0.5712682150947923,0.8207634412072763,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,0.0,1.0,49.95
2022-07-04 03:00:00,2,943,121.8,320.1,318.67,261.93,247.71,25470.875,25397.89583333333,72.97916666666788,0,1,0.7247927872291199,0.6889669190756866,-0.4999999999999998,-0.8660254037844388,0.8660254037844388,-0.4999999999999998,0.0,1.0,54.95
