date,EFA,Cleared Volume,EU Gas,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,Average Temperature,price
2022-04-09 07:00:00,3,828,327.1,26806.5,26864.64583333333,-58.14583333333212,5,0,0.9680771188662044,-0.2506525322587204,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,2.0,15.48
2022-04-09 11:00:00,4,851,327.1,24508.125,24507.291666666668,0.8333333333321207,5,0,0.9680771188662044,-0.2506525322587204,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,5.75,47.98
2022-04-09 15:00:00,5,648,327.1,30207.625,30086.95833333333,120.66666666666788,5,0,0.9680771188662044,-0.2506525322587204,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,-0.9749279121818236,-0.2225209339563146,5.5,69.0
2022-04-09 19:00:00,6,485,327.1,29381.5,29483.70833333333,-102.20833333333212,5,0,0.9680771188662044,-0.2506525322587204,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,3.75,2.49
2022-04-09 23:00:00,1,422,327.1,24372.5,24397.25,-24.75,6,0,0.9680771188662044,-0.2506525322587204,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.3333333333333333,2.35
2022-04-10 03:00:00,2,431,327.1,23920.75,23908.5625,12.1875,6,0,0.8978045395707416,-0.4403941515576344,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,2.55
2022-04-10 07:00:00,3,615,327.1,24808.75,24823.916666666668,-15.16666666666788,6,0,0.8978045395707416,-0.4403941515576344,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,3.6666666666666665,7.25
2022-04-10 11:00:00,4,618,327.1,24342.625,24312.541666666668,30.08333333333212,6,0,0.8978045395707416,-0.4403941515576344,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,8.0,7.29
2022-04-10 15:00:00,5,596,327.1,30406.375,30314.6875,91.6875,6,0,0.8978045395707416,-0.4403941515576344,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,-0.7818314824680299,0.6234898018587334,9.5,58.62
2022-04-10 19:00:00,6,493,327.1,27751.0,27901.5625,-150.5625,6,0,0.8978045395707416,-0.4403941515576344,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,8.0,4.09
